Booking_ID,Booking_Date,Check_in_Date,Check_out_Date,Room_Type,Rate_Plan,Booked_Rate,Number_of_Nights,Number_of_Guests,Booking_Channel,Cancellation_Status,Revenue_Generated
BKG00001,2024-12-28,2025-01-01,2025-01-03,Standard,BAR + Member,1267540.26,2,1,Direct,Cancelled,0.0
BKG00002,2024-11-11,2025-01-01,2025-01-05,Standard,Early Bird (> 30 days) + Member,1122083.68,4,3,OTA,Cancelled,0.0
BKG00003,2024-12-10,2025-01-01,2025-01-04,Standard,Non-Refundable + Member,1164104.81,3,3,Direct,Cancelled,0.0
BKG00004,2024-10-30,2025-01-01,2025-01-06,Standard,Early Bird (> 30 days) + Member,1054426.89,5,1,Direct,Confirmed,5272134.449999999
BKG00005,2024-12-29,2025-01-01,2025-01-04,Standard,BAR,1406904.94,3,3,Website,Confirmed,4220714.82
BKG00006,2024-11-05,2025-01-01,2025-01-04,Standard,Early Bird (> 30 days),1252677.78,3,3,Walk-in,Confirmed,3758033.34
BKG00007,2024-10-18,2025-01-01,2025-01-06,Standard,Early Bird (> 30 days),1166806.12,5,3,OTA,Confirmed,5834030.600000001
BKG00008,2024-12-21,2025-01-01,2025-01-04,Standard,BAR + Member,1251848.58,3,3,Direct,Confirmed,3755545.74
BKG00009,2024-12-09,2025-01-01,2025-01-04,Standard,Non-Refundable + Member,1137776.84,3,2,Direct,Confirmed,3413330.5200000005
BKG00010,2024-12-04,2025-01-01,2025-01-04,Standard,Corporate,1514513.41,3,3,OTA,Confirmed,4543540.2299999995
BKG00011,2024-10-08,2025-01-01,2025-01-04,Standard,Early Bird (> 30 days),1226961.5,3,1,Direct,Confirmed,3680884.5
BKG00012,2024-12-20,2025-01-01,2025-01-05,Standard,Non-Refundable + Member,1222500.66,4,3,Direct,Confirmed,4890002.64
BKG00013,2024-12-15,2025-01-01,2025-01-06,Standard,Non-Refundable,1284261.3,5,1,OTA,Confirmed,6421306.5
BKG00014,2024-11-03,2025-01-01,2025-01-05,Standard,Early Bird (> 30 days),1155917.43,4,1,OTA,Confirmed,4623669.72
BKG00015,2024-11-13,2025-01-01,2025-01-03,Standard,Early Bird (> 30 days),1177037.78,2,1,OTA,Confirmed,2354075.56
